state,county,candidate,party,votes,won
Indiana,Dubois County,Woody Myers,DEM,4586,FALSE
Indiana,Dubois County,Donald Rainwater,LIB,2599,FALSE
Indiana,Elkhart County,Eric Holcomb,REP,46223,TRUE
Indiana,Elkhart County,Woody Myers,DEM,20512,FALSE
Indiana,Elkhart County,Donald Rainwater,LIB,7690,FALSE
Indiana,Fayette County,Eric Holcomb,REP,6933,TRUE
Indiana,Fayette County,Woody Myers,DEM,1707,FALSE
Indiana,Fayette County,Donald Rainwater,LIB,1414,FALSE
Indiana,Floyd County,Eric Holcomb,REP,24972,TRUE
Indiana,Floyd County,Woody Myers,DEM,14948,FALSE
Indiana,Floyd County,Donald Rainwater,LIB,1669,FALSE
Indiana,Fountain County,Eric Holcomb,REP,5189,TRUE
Indiana,Fountain County,Donald Rainwater,LIB,1613,FALSE
Indiana,Fountain County,Woody Myers,DEM,1150,FALSE
Indiana,Franklin County,Eric Holcomb,REP,8633,TRUE
Indiana,Franklin County,Woody Myers,DEM,1690,FALSE
Indiana,Franklin County,Donald Rainwater,LIB,1499,FALSE
Indiana,Fulton County,Eric Holcomb,REP,5436,TRUE
Indiana,Fulton County,Donald Rainwater,LIB,2084,FALSE
Indiana,Fulton County,Woody Myers,DEM,1603,FALSE
Indiana,Gibson County,Eric Holcomb,REP,11607,TRUE
Indiana,Gibson County,Woody Myers,DEM,2990,FALSE
Indiana,Gibson County,Donald Rainwater,LIB,1533,FALSE
Indiana,Grant County,Eric Holcomb,REP,16847,TRUE
Indiana,Grant County,Woody Myers,DEM,5849,FALSE
Indiana,Grant County,Donald Rainwater,LIB,4325,FALSE
Indiana,Greene County,Eric Holcomb,REP,9579,TRUE
Indiana,Greene County,Donald Rainwater,LIB,2604,FALSE
Indiana,Greene County,Woody Myers,DEM,2511,FALSE
Indiana,Hamilton County,Eric Holcomb,REP,117749,TRUE
Indiana,Hamilton County,Woody Myers,DEM,58714,FALSE
Indiana,Hamilton County,Donald Rainwater,LIB,17121,FALSE
Indiana,Hancock County,Eric Holcomb,REP,25647,TRUE
Indiana,Hancock County,Donald Rainwater,LIB,8624,FALSE
Indiana,Hancock County,Woody Myers,DEM,8538,FALSE
Indiana,Harrison County,Eric Holcomb,REP,14083,TRUE
Indiana,Harrison County,Woody Myers,DEM,4514,FALSE
Indiana,Harrison County,Donald Rainwater,LIB,1602,FALSE
Indiana,Hendricks County,Eric Holcomb,REP,50697,TRUE
Indiana,Hendricks County,Woody Myers,DEM,23179,FALSE
Indiana,Hendricks County,Donald Rainwater,LIB,14246,FALSE
Indiana,Henry County,Eric Holcomb,REP,12491,TRUE
Indiana,Henry County,Donald Rainwater,LIB,4442,FALSE
Indiana,Henry County,Woody Myers,DEM,4128,FALSE
Indiana,Howard County,Eric Holcomb,REP,24359,TRUE
Indiana,Howard County,Woody Myers,DEM,9871,FALSE
Indiana,Howard County,Donald Rainwater,LIB,6317,FALSE
Indiana,Huntington County,Eric Holcomb,REP,11759,TRUE
Indiana,Huntington County,Donald Rainwater,LIB,3168,FALSE
Indiana,Huntington County,Woody Myers,DEM,2804,FALSE
Indiana,Jackson County,Eric Holcomb,REP,11714,TRUE
Indiana,Jackson County,Donald Rainwater,LIB,4188,FALSE
Indiana,Jackson County,Woody Myers,DEM,3234,FALSE
Indiana,Jasper County,Eric Holcomb,REP,10378,TRUE
Indiana,Jasper County,Woody Myers,DEM,2904,FALSE
Indiana,Jasper County,Donald Rainwater,LIB,2089,FALSE
Indiana,Jay County,Eric Holcomb,REP,5227,TRUE
Indiana,Jay County,Donald Rainwater,LIB,1938,FALSE
Indiana,Jay County,Woody Myers,DEM,1240,FALSE
Indiana,Jefferson County,Eric Holcomb,REP,9076,TRUE
Indiana,Jefferson County,Woody Myers,DEM,3711,FALSE
Indiana,Jefferson County,Donald Rainwater,LIB,1750,FALSE
Indiana,Jennings County,Eric Holcomb,REP,7547,TRUE
Indiana,Jennings County,Donald Rainwater,LIB,2676,FALSE
Indiana,Jennings County,Woody Myers,DEM,1930,FALSE
Indiana,Johnson County,Eric Holcomb,REP,47467,TRUE
Indiana,Johnson County,Woody Myers,DEM,17630,FALSE
Indiana,Johnson County,Donald Rainwater,LIB,12177,FALSE
Indiana,Knox County,Eric Holcomb,REP,11210,TRUE
Indiana,Knox County,Woody Myers,DEM,2809,FALSE
Indiana,Knox County,Donald Rainwater,LIB,1821,FALSE
Indiana,Kosciusko County,Eric Holcomb,REP,23029,TRUE
Indiana,Kosciusko County,Donald Rainwater,LIB,6845,FALSE
Indiana,Kosciusko County,Woody Myers,DEM,5784,FALSE
Indiana,LaGrange County,Eric Holcomb,REP,7520,TRUE
Indiana,LaGrange County,Woody Myers,DEM,1690,FALSE
Indiana,LaGrange County,Donald Rainwater,LIB,1365,FALSE
Indiana,Lake County,Woody Myers,DEM,112352,TRUE
Indiana,Lake County,Eric Holcomb,REP,94841,FALSE
Indiana,Lake County,Donald Rainwater,LIB,10039,FALSE
Indiana,LaPorte County,Eric Holcomb,REP,26129,TRUE
Indiana,LaPorte County,Woody Myers,DEM,18133,FALSE
Indiana,LaPorte County,Donald Rainwater,LIB,4356,FALSE
Indiana,Lawrence County,Eric Holcomb,REP,13371,TRUE
Indiana,Lawrence County,Donald Rainwater,LIB,3881,FALSE
Indiana,Lawrence County,Woody Myers,DEM,3616,FALSE
Indiana,Madison County,Eric Holcomb,REP,29434,TRUE
Indiana,Madison County,Woody Myers,DEM,14254,FALSE
Indiana,Madison County,Donald Rainwater,LIB,8118,FALSE
Indiana,Marion County,Woody Myers,DEM,203475,TRUE
Indiana,Marion County,Eric Holcomb,REP,152405,FALSE
Indiana,Marion County,Donald Rainwater,LIB,34974,FALSE
Indiana,Marshall County,Eric Holcomb,REP,13145,TRUE
Indiana,Marshall County,Woody Myers,DEM,4025,FALSE
Indiana,Marshall County,Donald Rainwater,LIB,2634,FALSE
Indiana,Martin County,Eric Holcomb,REP,3232,TRUE
Indiana,Martin County,Donald Rainwater,LIB,1177,FALSE
Indiana,Martin County,Woody Myers,DEM,709,FALSE
Indiana,Miami County,Eric Holcomb,REP,9208,TRUE
Indiana,Miami County,Donald Rainwater,LIB,2714,FALSE
Indiana,Miami County,Woody Myers,DEM,2439,FALSE
Indiana,Monroe County,Woody Myers,DEM,33033,TRUE
Indiana,Monroe County,Eric Holcomb,REP,24605,FALSE
Indiana,Monroe County,Donald Rainwater,LIB,4885,FALSE
Indiana,Montgomery County,Eric Holcomb,REP,10587,TRUE
Indiana,Montgomery County,Donald Rainwater,LIB,3785,FALSE
Indiana,Montgomery County,Woody Myers,DEM,2812,FALSE
Indiana,Morgan County,Eric Holcomb,REP,22161,TRUE
Indiana,Morgan County,Donald Rainwater,LIB,8184,FALSE
Indiana,Morgan County,Woody Myers,DEM,5602,FALSE
Indiana,Newton County,Eric Holcomb,REP,4358,TRUE
Indiana,Newton County,Woody Myers,DEM,1148,FALSE
Indiana,Newton County,Donald Rainwater,LIB,1050,FALSE
Indiana,Noble County,Eric Holcomb,REP,12498,TRUE
Indiana,Noble County,Donald Rainwater,LIB,3353,FALSE
Indiana,Noble County,Woody Myers,DEM,3237,FALSE
Indiana,Ohio County,Eric Holcomb,REP,2210,TRUE
Indiana,Ohio County,Woody Myers,DEM,641,FALSE
Indiana,Ohio County,Donald Rainwater,LIB,335,FALSE
Indiana,Orange County,Eric Holcomb,REP,5591,TRUE
Indiana,Orange County,Woody Myers,DEM,1952,FALSE
Indiana,Orange County,Donald Rainwater,LIB,1216,FALSE
Indiana,Owen County,Eric Holcomb,REP,5857,TRUE
Indiana,Owen County,Donald Rainwater,LIB,2137,FALSE
Indiana,Owen County,Woody Myers,DEM,1852,FALSE
Indiana,Parke County,Eric Holcomb,REP,4766,TRUE
Indiana,Parke County,Woody Myers,DEM,1127,FALSE
Indiana,Parke County,Donald Rainwater,LIB,1079,FALSE
Indiana,Perry County,Eric Holcomb,REP,5523,TRUE
Indiana,Perry County,Woody Myers,DEM,2518,FALSE
Indiana,Perry County,Donald Rainwater,LIB,607,FALSE
Indiana,Pike County,Eric Holcomb,REP,4199,TRUE
Indiana,Pike County,Woody Myers,DEM,1092,FALSE
Indiana,Pike County,Donald Rainwater,LIB,850,FALSE
Indiana,Porter County,Eric Holcomb,REP,45996,TRUE
Indiana,Porter County,Woody Myers,DEM,33397,FALSE
Indiana,Porter County,Donald Rainwater,LIB,7131,FALSE
Indiana,Posey County,Eric Holcomb,REP,9648,TRUE
Indiana,Posey County,Woody Myers,DEM,2773,FALSE
Indiana,Posey County,Donald Rainwater,LIB,809,FALSE
Indiana,Pulaski County,Eric Holcomb,REP,3874,TRUE
Indiana,Pulaski County,Woody Myers,DEM,1019,FALSE
Indiana,Pulaski County,Donald Rainwater,LIB,875,FALSE
Indiana,Putnam County,Eric Holcomb,REP,9375,TRUE
Indiana,Putnam County,Donald Rainwater,LIB,4269,FALSE
Indiana,Putnam County,Woody Myers,DEM,2876,FALSE
Indiana,Randolph County,Eric Holcomb,REP,7399,TRUE
Indiana,Randolph County,Woody Myers,DEM,1863,FALSE
Indiana,Randolph County,Donald Rainwater,LIB,1732,FALSE
Indiana,Ripley County,Eric Holcomb,REP,9518,TRUE
Indiana,Ripley County,Donald Rainwater,LIB,2458,FALSE
Indiana,Ripley County,Woody Myers,DEM,2231,FALSE
Indiana,Rush County,Eric Holcomb,REP,4949,TRUE
Indiana,Rush County,Donald Rainwater,LIB,1716,FALSE
Indiana,Rush County,Woody Myers,DEM,1215,FALSE
Indiana,St. Joseph County,Eric Holcomb,REP,60696,TRUE
Indiana,St. Joseph County,Woody Myers,DEM,48610,FALSE
Indiana,St. Joseph County,Donald Rainwater,LIB,5387,FALSE
Indiana,Scott County,Eric Holcomb,REP,6062,TRUE
Indiana,Scott County,Woody Myers,DEM,2295,FALSE
Indiana,Scott County,Donald Rainwater,LIB,1613,FALSE
Indiana,Shelby County,Eric Holcomb,REP,12269,TRUE
Indiana,Shelby County,Donald Rainwater,LIB,4099,FALSE
Indiana,Shelby County,Woody Myers,DEM,3499,FALSE
Indiana,Spencer County,Eric Holcomb,REP,7272,TRUE
Indiana,Spencer County,Woody Myers,DEM,2461,FALSE
Indiana,Spencer County,Donald Rainwater,LIB,926,FALSE
Indiana,Starke County,Eric Holcomb,REP,6730,TRUE
Indiana,Starke County,Woody Myers,DEM,2026,FALSE
Indiana,Starke County,Donald Rainwater,LIB,1427,FALSE
Indiana,Steuben County,Eric Holcomb,REP,11407,TRUE
Indiana,Steuben County,Woody Myers,DEM,2939,FALSE
Indiana,Steuben County,Donald Rainwater,LIB,1739,FALSE
Indiana,Sullivan County,Eric Holcomb,REP,6009,TRUE
Indiana,Sullivan County,Woody Myers,DEM,1550,FALSE
Indiana,Sullivan County,Donald Rainwater,LIB,1357,FALSE
Indiana,Switzerland County,Eric Holcomb,REP,2846,TRUE
Indiana,Switzerland County,Woody Myers,DEM,822,FALSE
Indiana,Switzerland County,Donald Rainwater,LIB,412,FALSE
Indiana,Tippecanoe County,Eric Holcomb,REP,37979,TRUE
Indiana,Tippecanoe County,Woody Myers,DEM,26179,FALSE
Indiana,Tippecanoe County,Donald Rainwater,LIB,7057,FALSE
Indiana,Tipton County,Eric Holcomb,REP,5169,TRUE
Indiana,Tipton County,Donald Rainwater,LIB,1707,FALSE
Indiana,Tipton County,Woody Myers,DEM,1200,FALSE
Indiana,Union County,Eric Holcomb,REP,2533,TRUE
Indiana,Union County,Woody Myers,DEM,603,FALSE
Indiana,Union County,Donald Rainwater,LIB,323,FALSE
Indiana,Vanderburgh County,Eric Holcomb,REP,46490,TRUE
Indiana,Vanderburgh County,Woody Myers,DEM,27242,FALSE
Indiana,Vanderburgh County,Donald Rainwater,LIB,3658,FALSE
Indiana,Vermillion County,Eric Holcomb,REP,4938,TRUE
Indiana,Vermillion County,Woody Myers,DEM,1531,FALSE
Indiana,Vermillion County,Donald Rainwater,LIB,917,FALSE
Indiana,Vigo County,Eric Holcomb,REP,25917,TRUE
Indiana,Vigo County,Woody Myers,DEM,13999,FALSE
Indiana,Vigo County,Donald Rainwater,LIB,3419,FALSE
Indiana,Wabash County,Eric Holcomb,REP,9111,TRUE
Indiana,Wabash County,Donald Rainwater,LIB,2979,FALSE
Indiana,Wabash County,Woody Myers,DEM,2421,FALSE
Indiana,Warren County,Eric Holcomb,REP,3009,TRUE
Indiana,Warren County,Donald Rainwater,LIB,777,FALSE
Indiana,Warren County,Woody Myers,DEM,672,FALSE
Indiana,Warrick County,Eric Holcomb,REP,22703,TRUE
Indiana,Warrick County,Woody Myers,DEM,9074,FALSE
Indiana,Warrick County,Donald Rainwater,LIB,1747,FALSE
Indiana,Washington County,Eric Holcomb,REP,7919,TRUE
Indiana,Washington County,Woody Myers,DEM,2408,FALSE
Indiana,Washington County,Donald Rainwater,LIB,1746,FALSE
Indiana,Wayne County,Eric Holcomb,REP,16914,TRUE
Indiana,Wayne County,Woody Myers,DEM,7534,FALSE
Indiana,Wayne County,Donald Rainwater,LIB,3172,FALSE
Indiana,Wells County,Eric Holcomb,REP,9371,TRUE
Indiana,Wells County,Donald Rainwater,LIB,2712,FALSE
Indiana,Wells County,Woody Myers,DEM,1967,FALSE
Indiana,White County,Eric Holcomb,REP,7334,TRUE
Indiana,White County,Woody Myers,DEM,1978,FALSE
Indiana,White County,Donald Rainwater,LIB,1826,FALSE
Indiana,Whitley County,Eric Holcomb,REP,11522,TRUE
Indiana,Whitley County,Donald Rainwater,LIB,3191,FALSE
Indiana,Whitley County,Woody Myers,DEM,2738,FALSE
Missouri,Adair County,Mike Parson,REP,6597,TRUE
Missouri,Adair County,Nicole Galloway,DEM,3546,FALSE
Missouri,Adair County,Rik Combs,LIB,131,FALSE
Missouri,Adair County,Jerome Bauer,GRN,44,FALSE
Missouri,Andrew County,Mike Parson,REP,7195,TRUE
Missouri,Andrew County,Nicole Galloway,DEM,2356,FALSE
Missouri,Andrew County,Rik Combs,LIB,140,FALSE
Missouri,Andrew County,Jerome Bauer,GRN,42,FALSE
Missouri,Atchison County,Mike Parson,REP,2171,TRUE
Missouri,Atchison County,Nicole Galloway,DEM,533,FALSE
Missouri,Atchison County,Rik Combs,LIB,51,FALSE
Missouri,Atchison County,Jerome Bauer,GRN,15,FALSE
Missouri,Audrain County,Mike Parson,REP,7643,TRUE
Missouri,Audrain County,Nicole Galloway,DEM,2663,FALSE
Missouri,Audrain County,Rik Combs,LIB,232,FALSE
Missouri,Audrain County,Jerome Bauer,GRN,70,FALSE
Missouri,Barry County,Mike Parson,REP,12356,TRUE
Missouri,Barry County,Nicole Galloway,DEM,2841,FALSE
Missouri,Barry County,Rik Combs,LIB,242,FALSE
Missouri,Barry County,Jerome Bauer,GRN,88,FALSE
Missouri,Barton County,Mike Parson,REP,5114,TRUE
Missouri,Barton County,Nicole Galloway,DEM,816,FALSE
Missouri,Barton County,Rik Combs,LIB,69,FALSE
Missouri,Barton County,Jerome Bauer,GRN,33,FALSE
Missouri,Bates County,Mike Parson,REP,6410,TRUE
Missouri,Bates County,Nicole Galloway,DEM,1762,FALSE
Missouri,Bates County,Rik Combs,LIB,134,FALSE
Missouri,Bates County,Jerome Bauer,GRN,51,FALSE
Missouri,Benton County,Mike Parson,REP,8017,TRUE
Missouri,Benton County,Nicole Galloway,DEM,2179,FALSE
Missouri,Benton County,Rik Combs,LIB,181,FALSE
Missouri,Benton County,Jerome Bauer,GRN,56,FALSE
Missouri,Bollinger County,Mike Parson,REP,5063,TRUE
Missouri,Bollinger County,Nicole Galloway,DEM,773,FALSE
Missouri,Bollinger County,Rik Combs,LIB,91,FALSE
Missouri,Bollinger County,Jerome Bauer,GRN,21,FALSE
Missouri,Boone County,Nicole Galloway,DEM,48056,TRUE
Missouri,Boone County,Mike Parson,REP,40478,FALSE
Missouri,Boone County,Rik Combs,LIB,1711,FALSE
Missouri,Boone County,Jerome Bauer,GRN,460,FALSE
Missouri,Buchanan County,Mike Parson,REP,22147,TRUE
Missouri,Buchanan County,Nicole Galloway,DEM,13225,FALSE
Missouri,Buchanan County,Rik Combs,LIB,719,FALSE
Missouri,Buchanan County,Jerome Bauer,GRN,303,FALSE
Missouri,Butler County,Mike Parson,REP,14337,TRUE
Missouri,Butler County,Nicole Galloway,DEM,3349,FALSE
Missouri,Butler County,Rik Combs,LIB,257,FALSE
Missouri,Butler County,Jerome Bauer,GRN,61,FALSE
Missouri,Caldwell County,Mike Parson,REP,3603,TRUE
Missouri,Caldwell County,Nicole Galloway,DEM,916,FALSE
Missouri,Caldwell County,Rik Combs,LIB,98,FALSE
Missouri,Caldwell County,Jerome Bauer,GRN,33,FALSE
Missouri,Callaway County,Mike Parson,REP,14950,TRUE
Missouri,Callaway County,Nicole Galloway,DEM,5611,FALSE
Missouri,Callaway County,Rik Combs,LIB,461,FALSE
Missouri,Callaway County,Jerome Bauer,GRN,79,FALSE
Missouri,Camden County,Mike Parson,REP,18837,TRUE
Missouri,Camden County,Nicole Galloway,DEM,5461,FALSE
Missouri,Camden County,Rik Combs,LIB,326,FALSE
Missouri,Camden County,Jerome Bauer,GRN,104,FALSE
Missouri,Cape Girardeau County,Mike Parson,REP,29127,TRUE
Missouri,Cape Girardeau County,Nicole Galloway,DEM,10272,FALSE
Missouri,Cape Girardeau County,Rik Combs,LIB,630,FALSE
Missouri,Cape Girardeau County,Jerome Bauer,GRN,132,FALSE
Missouri,Carroll County,Mike Parson,REP,3671,TRUE
Missouri,Carroll County,Nicole Galloway,DEM,770,FALSE
Missouri,Carroll County,Rik Combs,LIB,44,FALSE
Missouri,Carroll County,Jerome Bauer,GRN,13,FALSE
Missouri,Carter County,Mike Parson,REP,2412,TRUE
Missouri,Carter County,Nicole Galloway,DEM,401,FALSE
Missouri,Carter County,Rik Combs,LIB,38,FALSE
Missouri,Carter County,Jerome Bauer,GRN,10,FALSE
Missouri,Cass County,Mike Parson,REP,37025,TRUE
Missouri,Cass County,Nicole Galloway,DEM,18770,FALSE
Missouri,Cass County,Rik Combs,LIB,1028,FALSE
Missouri,Cass County,Jerome Bauer,GRN,319,FALSE
Missouri,Cedar County,Mike Parson,REP,5771,TRUE
Missouri,Cedar County,Nicole Galloway,DEM,1104,FALSE
Missouri,Cedar County,Rik Combs,LIB,124,FALSE
Missouri,Cedar County,Jerome Bauer,GRN,30,FALSE
Missouri,Chariton County,Mike Parson,REP,3100,TRUE
Missouri,Chariton County,Nicole Galloway,DEM,910,FALSE
Missouri,Chariton County,Rik Combs,LIB,57,FALSE
Missouri,Chariton County,Jerome Bauer,GRN,5,FALSE
Missouri,Christian County,Mike Parson,REP,34827,TRUE
Missouri,Christian County,Nicole Galloway,DEM,10863,FALSE
Missouri,Christian County,Rik Combs,LIB,804,FALSE
Missouri,Christian County,Jerome Bauer,GRN,166,FALSE
Missouri,Clark County,Mike Parson,REP,2667,TRUE
Missouri,Clark County,Nicole Galloway,DEM,648,FALSE
Missouri,Clark County,Rik Combs,LIB,36,FALSE
Missouri,Clark County,Jerome Bauer,GRN,21,FALSE
Missouri,Clay County,Mike Parson,REP,64682,TRUE
Missouri,Clay County,Nicole Galloway,DEM,58224,FALSE
Missouri,Clay County,Rik Combs,LIB,2287,FALSE
Missouri,Clay County,Jerome Bauer,GRN,685,FALSE
Missouri,Clinton County,Mike Parson,REP,7518,TRUE
Missouri,Clinton County,Nicole Galloway,DEM,3001,FALSE
Missouri,Clinton County,Rik Combs,LIB,213,FALSE
Missouri,Clinton County,Jerome Bauer,GRN,92,FALSE
Missouri,Cole County,Mike Parson,REP,26886,TRUE
Missouri,Cole County,Nicole Galloway,DEM,11726,FALSE
Missouri,Cole County,Rik Combs,LIB,796,FALSE
Missouri,Cole County,Jerome Bauer,GRN,165,FALSE
Missouri,Cooper County,Mike Parson,REP,6224,TRUE
Missouri,Cooper County,Nicole Galloway,DEM,2162,FALSE
Missouri,Cooper County,Rik Combs,LIB,234,FALSE
Missouri,Cooper County,Jerome Bauer,GRN,46,FALSE
Missouri,Crawford County,Mike Parson,REP,8480,TRUE
Missouri,Crawford County,Nicole Galloway,DEM,2230,FALSE
Missouri,Crawford County,Rik Combs,LIB,176,FALSE
Missouri,Crawford County,Jerome Bauer,GRN,46,FALSE
Missouri,Dade County,Mike Parson,REP,3348,TRUE
Missouri,Dade County,Nicole Galloway,DEM,668,FALSE
Missouri,Dade County,Rik Combs,LIB,67,FALSE
Missouri,Dade County,Jerome Bauer,GRN,22,FALSE
Missouri,Dallas County,Mike Parson,REP,6646,TRUE
Missouri,Dallas County,Nicole Galloway,DEM,1294,FALSE
Missouri,Dallas County,Rik Combs,LIB,114,FALSE
Missouri,Dallas County,Jerome Bauer,GRN,41,FALSE
Missouri,Daviess County,Mike Parson,REP,2997,TRUE
Missouri,Daviess County,Nicole Galloway,DEM,783,FALSE
Missouri,Daviess County,Rik Combs,LIB,77,FALSE
Missouri,Daviess County,Jerome Bauer,GRN,23,FALSE
Missouri,DeKalb County,Mike Parson,REP,3763,TRUE
Missouri,DeKalb County,Nicole Galloway,DEM,930,FALSE
Missouri,DeKalb County,Rik Combs,LIB,93,FALSE
Missouri,DeKalb County,Jerome Bauer,GRN,30,FALSE
Missouri,Dent County,Mike Parson,REP,5768,TRUE
Missouri,Dent County,Nicole Galloway,DEM,1141,FALSE
Missouri,Dent County,Rik Combs,LIB,170,FALSE
Missouri,Dent County,Jerome Bauer,GRN,34,FALSE
Missouri,Douglas County,Mike Parson,REP,5773,TRUE
Missouri,Douglas County,Nicole Galloway,DEM,1046,FALSE
Missouri,Douglas County,Rik Combs,LIB,118,FALSE
Missouri,Douglas County,Jerome Bauer,GRN,34,FALSE
Missouri,Dunklin County,Mike Parson,REP,7880,TRUE
Missouri,Dunklin County,Nicole Galloway,DEM,2281,FALSE
Missouri,Dunklin County,Rik Combs,LIB,118,FALSE
Missouri,Dunklin County,Jerome Bauer,GRN,30,FALSE
Missouri,Franklin County,Mike Parson,REP,37136,TRUE
Missouri,Franklin County,Nicole Galloway,DEM,14957,FALSE
Missouri,Franklin County,Rik Combs,LIB,926,FALSE
Missouri,Franklin County,Jerome Bauer,GRN,351,FALSE
Missouri,Gasconade County,Mike Parson,REP,6192,TRUE
Missouri,Gasconade County,Nicole Galloway,DEM,1537,FALSE
Missouri,Gasconade County,Rik Combs,LIB,112,FALSE
Missouri,Gasconade County,Jerome Bauer,GRN,29,FALSE
Missouri,Gentry County,Mike Parson,REP,2539,TRUE
Missouri,Gentry County,Nicole Galloway,DEM,631,FALSE
Missouri,Gentry County,Rik Combs,LIB,42,FALSE
Missouri,Gentry County,Jerome Bauer,GRN,8,FALSE
Missouri,Greene County,Mike Parson,REP,84582,TRUE
Missouri,Greene County,Nicole Galloway,DEM,53519,FALSE
Missouri,Greene County,Rik Combs,LIB,2855,FALSE
Missouri,Greene County,Jerome Bauer,GRN,668,FALSE
Missouri,Grundy County,Mike Parson,REP,3537,TRUE
Missouri,Grundy County,Nicole Galloway,DEM,821,FALSE
Missouri,Grundy County,Rik Combs,LIB,53,FALSE
Missouri,Grundy County,Jerome Bauer,GRN,15,FALSE
Missouri,Harrison County,Mike Parson,REP,3139,TRUE
Missouri,Harrison County,Nicole Galloway,DEM,602,FALSE
Missouri,Harrison County,Rik Combs,LIB,47,FALSE
Missouri,Harrison County,Jerome Bauer,GRN,12,FALSE
Missouri,Henry County,Mike Parson,REP,7928,TRUE
Missouri,Henry County,Nicole Galloway,DEM,2574,FALSE
Missouri,Henry County,Rik Combs,LIB,155,FALSE
Missouri,Henry County,Jerome Bauer,GRN,57,FALSE
Missouri,Hickory County,Mike Parson,REP,4037,TRUE
Missouri,Hickory County,Nicole Galloway,DEM,929,FALSE
